Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_for1,Known_for2
Santè Spa Cuisine,"Continental, Healthy Food, Mediterranean",1200," Koregaon Park, Pune",4.9,1469,3.9,588,https://www.zomato.com/pune/santè-spa-cuisine-koregaon-park,"Lane 1, Near Sunderban Resorts, Koregaon Park, Pune",9.18E+11,18.5374159,73.88889045,"Bajra Risotto, Spinach Hummus, Whole Wheat Spaghetti, Healthy Veg Food, Beetroot Hummus, Chocolate Pie","Nothing to Dislike, Healthy Menu, Healthy Food Options, Calm Ambience, Serene Ambience, Vegan"
Le Plaisir,"Cafe, Italian, Continental, Salad, Sandwich, Pizza, Beverages",1000," Deccan Gymkhana, Pune",4.9,4808,4.3,4959,https://www.zomato.com/pune/le-plaisir-deccan-gymkhana,"Survey 759/125, Rajkamal, Prabhat Road, Opposite Kelkar Eye Hospital, Deccan Gymkhana, Pune",9.19E+11,18.51425354,73.83865837,"Expresso Panacota, Banana Nutella Crepe, New York Baked Cheesecake, Lamb Bolognese, Hazelnut Cheese Cake, Caffe Frappe","Classy Place, Classy Ambience, Perfect Evening, Breakfast Menu, Comfortable Seating, Superb Food"
Gong,"Chinese, Sushi, Asian, Momos, Beverages",1700," Balewadi High Street, Baner, Pune",4.9,1788,4.3,1352,https://www.zomato.com/pune/gong-baner,"Shop 22/23, Cummins India Office Campus, Balewadi High Street, Baner, Pune",9.19E+11,18.57047134,73.77414856,"Chicken Minestrone Soup, Crab Ravioli, Ebi Tempura Roll, Prawn Dim Sums, Chocolate Dome, Asparagus Tempura","Classy Place, Quality of Food, Amazing Interiors, Themed Decor, New Experience, Menu Options"
The French Window Patisserie,"Cafe, Desserts, French, Bakery, European",600," Koregaon Park, Pune",4.9,1643,4.4,1208,https://www.zomato.com/pune/the-french-window-patisserie-koregaon-park,"Lane Number 5, Ganga Fortune Society, Meera Nagar, Koregaon Park, Pune",9.20E+11,18.53743241,73.89771417,"Trois Chocolat, Chocolate Flan, Mille Feuille, Choco Coffee, Lemon Mousse, Avocado Toast","Bookshelf, Beautiful Cafe, Pretty Ambience, Peaceful Ambience, Welcoming Staff, Staff Behaviour"
Savya Rasa,"South Indian, Mangalorean, Kerala, Chettinad, Beverages",2100," Koregaon Park, Pune",4.9,1283,4.3,446,https://www.zomato.com/pune/savya-rasa-koregaon-park,"Flat 2, Survey 479 & 480, Gera Serenity, North Main Road, Koregaon Park, Pune",9.19E+11,18.53886161,73.88662063,"Bun Paratha, Pallipalayam Kozhi, Palm Sugar, Vegetable Stew, Neer Dosa, Filtered Coffee","Sophisticated, Worth the Price, Warm Ambience, Serving Size, Soothing Music, Calm"
Le Flamington,"Cafe, European, Fast Food, Bakery, Desserts",600," Kalyani Nagar, Pune",4.9,623,,15,https://www.zomato.com/pune/le-flamington-kalyani-nagar,"Survey 206, Pune Nagar Road, Kalyani Nagar, Pune",9.12E+11,18.55378405,73.90587386,"Caffe Latte, Marshmallow, Quiche, Croissant, Mocha, Cappuccino","Quaint Little Place, Cozy Place, Good Value, Host, Vibe, Decor"
Pagdandi Books Chai Cafe,"Cafe, Fast Food, Beverages",400," Baner, Pune",4.9,892,,0,https://www.zomato.com/pune/pagdandi-books-chai-cafe-baner,"Shop 6, Regent Plaza, Opposite Symantec, Baner Pashan Link Road, Baner, Pune",9.18E+11,18.5521538,73.79309166,"Adrak Wali Chai, Bun Maskas, Masala Chai, Maggi, Hot Coffee, Cappuccino","Great Concept, Happy Place, Free Wifi, Peaceful Place, Light Music, Cosy Place"
Paasha - JW Marriott Pune,"North Indian, Kebab, Desserts",2500," JW Marriott Pune, Senapati Bapat Road, Pune",4.8,3480,4,69,https://www.zomato.com/pune/paasha-jw-marriott-pune-senapati-bapat-road,"JW Marriott, Laxmi Society, Senapati Bapat Road, Pune",9.19E+11,18.53224454,73.82969141,One Of The Most Exclusive Options For Northern Western Frontier Cuisine With A View Of The City.,NaN
Cafe Paashh,"Cafe, European, Modern Indian, Desserts, Beverages",1500," Kalyani Nagar, Pune",4.8,522,3.7,91,https://www.zomato.com/pune/cafe-paashh-kalyani-nagar,"Plot E1 & E2, Survey 211/2, Hiremath Park, Near Orange IVY School, Kalyani Nagar, Pune",9.17E+11,18.54431218,73.9022113,"Honey Ice Cream, Potato Chat, Soba Noodles, Golgappa, Watermelon Cooler, Spinach Ravioli","Reasonably Priced, Decor is Excellent, Couple Friendly, Bookshelf, Quaint Little Place, Flowers"
Boteco - Restaurante Brasileiro,"Brazilian, Steak, South American, Beverages",2300," Koregaon Park, Pune",4.8,779,4.4,905,https://www.zomato.com/pune/boteco-restaurante-brasileiro-koregaon-park,"302, Restaurant 2, Plot 373, Old Survey 26/13B/1, Power Plaza, Lane 7, Near State Bank of India, Koregaon Park, Pune",9.19E+11,18.53418016,73.89930144,"Themed Decor, Comfortable Seating Area, Valet, Favorite Place, Family Place, Chef",NaN
